,final_price,list_price,bedrooms,bathrooms,sqft,parking,type,full_address,lat,long
0,885000.0,898000.0,3.0,2.0,,6.0,2,"2 Cabot Crt, Toronto ",43.6470284,-79.53100359999998
1,825513.0,839000.0,2.0,2.0,,1.0,3,"61 Twelfth St, Toronto ",43.5969344882165,-79.50962017633992
2,2700000.0,2798000.0,4.0,5.0,3000.0,2.0,3,"110 Albertus Ave, Toronto ",43.71395100410959,-79.4033107178082
3,1057000.0,1079000.0,3.51,2.0,,1.0,2,"342 Indian Road Cres, Toronto ",43.66453318125,-79.46134810000002
4,1530000.0,1399900.0,4.52,5.0,3500.0,4.0,3,"77 Inniswood Dr, Toronto ",43.73905890586907,-79.30398056784422
5,2250000.0,1990000.0,3.51,4.0,3000.0,2.0,2,"22 Amelia St, Toronto ",43.66756243333333,-79.36820176666666
6,2100000.0,2150000.0,4.0,3.0,2000.0,2.0,3,"17 Danville Dr, Toronto ",43.74980816,-79.39610202
7,800000.0,899888.0,4.51,4.0,,4.0,3,"26 Fieldwood Dr, Toronto ",43.82460120293492,-79.27108920536801
8,510000.0,569000.0,2.53,2.0,,3.0,3,"123 Galloway Rd, Toronto ",43.75976260909091,-79.19353328181819
9,825000.0,829900.0,4.0,3.0,,3.0,3,"88 South Bonnington Ave, Toronto ",43.705361871428565,-79.26141625714286
10,855000.0,798000.0,3.0,2.0,1100.0,2.0,3,"118 Symons St, Toronto ",43.60736453111111,-79.49668286222223
11,575000.0,579000.0,2.0,1.0,1100.0,1.0,1,"6 Gray Ave, Toronto ",43.68166247692307,-79.49371202307692
12,825000.0,829900.0,4.0,3.0,,3.0,3,"88 South Bonnington Ave, Toronto ",43.705361871428565,-79.26141625714286
13,880000.0,879000.0,3.51,2.0,,2.0,3,"205 Glenwood Cres, Toronto ",43.705508,-79.307869825
14,1134000.0,1148000.0,4.51,4.0,,5.0,3,"31 Nineteenth St, Toronto ",43.59972404210526,-79.51864848947369
15,725000.0,729000.0,3.0,3.0,2000.0,1.0,1,"25 Thomas Mulholland Dr, Toronto ",43.7361046,-79.4772509
16,855000.0,798000.0,3.0,2.0,1100.0,2.0,3,"118 Symons St, Toronto ",43.60736453111111,-79.49668286222223
17,1240000.0,1249000.0,3.0,2.0,2000.0,0.0,2,"131 Palmerston Ave, Toronto ",43.65073185454545,-79.40791329999998
18,726000.0,739000.0,4.0,3.0,,3.0,2,"15 Fallingdale Cres, Toronto ",43.75392094490214,-79.49491232379
19,1300000.0,1189000.0,3.51,4.0,1500.0,2.0,2,"110 Walpole Ave, Toronto ",43.6751524,-79.32488719999998
20,570000.0,629900.0,1.0,1.0,,0.0,3,"737 Craven Rd, Toronto ",43.67570561645571,-79.32244345189874
21,726000.0,739000.0,4.0,3.0,,3.0,2,"15 Fallingdale Cres, Toronto ",43.75392094490214,-79.49491232379
22,1240000.0,1249000.0,3.0,2.0,2000.0,0.0,2,"131 Palmerston Ave, Toronto ",43.65073185454545,-79.40791329999998
23,1158888.0,1189999.0,3.51,4.0,3000.0,2.0,2,"39 Crossovers St, Toronto ",43.685667325531924,-79.29648749361702
24,1125000.0,1179000.0,3.51,2.0,1500.0,2.0,2,"35 Burgess Ave, Toronto ",43.678393128571436,-79.3082600857143
25,700000.0,699900.0,3.0,3.0,,2.0,2,"26 Sorlyn Ave, Toronto ",43.70681177403244,-79.49196639861479
26,1535000.0,1569000.0,4.0,4.0,2500.0,2.0,3,"56 Victor Ave, Toronto ",43.66752888524589,-79.35099209016394
27,1175000.0,1149000.0,3.51,3.0,,1.0,3,"311 Glenholme Ave, Toronto ",43.6862865,-79.44126962096773
28,1220000.0,899000.0,3.51,3.0,2000.0,2.0,2,"874 Manning Ave, Toronto ",43.67015946666667,-79.41848515555556
29,1450000.0,1459000.0,4.0,5.0,3000.0,2.0,3,"29 Wellman Dr, Richmond Hill ",43.95995,-79.440843
30,1300000.0,1189000.0,3.51,4.0,1500.0,2.0,2,"110 Walpole Ave, Toronto ",43.6751524,-79.32488719999998
31,1158888.0,1189999.0,3.51,4.0,3000.0,2.0,2,"39 Crossovers St, Toronto ",43.685667325531924,-79.29648749361702
32,1125000.0,1179000.0,3.51,2.0,1500.0,2.0,2,"35 Burgess Ave, Toronto ",43.678393128571436,-79.3082600857143
33,1220000.0,899000.0,3.51,3.0,2000.0,2.0,2,"874 Manning Ave, Toronto ",43.67015946666667,-79.41848515555556
34,570000.0,629900.0,1.0,1.0,,0.0,3,"737 Craven Rd, Toronto ",43.67570561645571,-79.32244345189874
35,1535000.0,1569000.0,4.0,4.0,2500.0,2.0,3,"56 Victor Ave, Toronto ",43.66752888524589,-79.35099209016394
36,1450000.0,1459000.0,4.0,5.0,3000.0,2.0,3,"29 Wellman Dr, Richmond Hill ",43.95995,-79.440843
37,726000.0,739000.0,4.0,3.0,,3.0,2,"15 Fallingdale Cres, Toronto ",43.75392094490214,-79.49491232379
38,967500.0,999800.0,4.0,3.0,,2.0,3,"54 Kimberdale Cres, Toronto ",43.7877522057102,-79.30940195362743
39,1158888.0,1189999.0,3.51,4.0,3000.0,2.0,2,"39 Crossovers St, Toronto ",43.685667325531924,-79.29648749361702
40,1175000.0,1149000.0,3.51,3.0,,1.0,3,"311 Glenholme Ave, Toronto ",43.6862865,-79.44126962096773
41,1240000.0,1249000.0,3.0,2.0,2000.0,0.0,2,"131 Palmerston Ave, Toronto ",43.65073185454545,-79.40791329999998
42,1300000.0,1189000.0,3.51,4.0,1500.0,2.0,2,"110 Walpole Ave, Toronto ",43.6751524,-79.32488719999998
43,570000.0,629900.0,1.0,1.0,,0.0,3,"737 Craven Rd, Toronto ",43.67570561645571,-79.32244345189874
44,715000.0,749000.0,3.52,2.0,,5.0,2,"24 Damask Ave, Toronto ",43.74225938823529,-79.53839234705883
45,1400000.0,1590000.0,3.51,3.0,,4.0,3,"6 Sumner Heights Dr, Toronto ",43.77891451800033,-79.38985199063559
46,1600100.0,1650000.0,4.0,3.0,,2.0,3,"45 Tullis Dr, Toronto ",43.7024979,-79.3966939
47,1050000.0,999000.0,3.0,3.0,,2.0,2,"88 Somerset Ave, Toronto ",43.67392141555555,-79.43200851333333
48,828000.0,799900.0,3.53,3.0,,3.0,3,"14 Gilroy Dr, Toronto ",43.758690250141726,-79.28014571218681
49,630000.0,599000.0,2.51,2.0,,2.0,3,"3 White Ave, Toronto ",43.66773838888889,-79.49240197222224
50,680000.0,698000.0,3.0,1.0,,3.0,3,"19 Stavely Ave, Toronto ",43.73225423788581,-79.24761308345441
51,704000.0,639900.0,2.0,3.0,,1.0,3,"297 Kane Ave, Toronto ",43.68814084365248,-79.46897214328281
52,901000.0,799000.0,3.0,2.0,,1.0,1,"350 Melita Ave, Toronto ",43.67379156774194,-79.42595339354837
53,4690000.0,5095000.0,5.0,6.0,,10.0,3,"10 Baytree Cres, Toronto ",43.75361510000001,-79.38551590000002
54,916000.0,939000.0,3.53,3.0,,3.0,2,"164A Edmonton Dr, Toronto ",43.78941870000001,-79.341104
55,1600100.0,1650000.0,4.0,3.0,,2.0,3,"45 Tullis Dr, Toronto ",43.7024979,-79.3966939
56,1110000.0,899000.0,3.51,3.0,,2.0,2,"417 Strathmore Blvd, Toronto ",43.68498834242424,-79.31960876060606
57,750000.0,767000.0,3.51,2.0,,3.0,3,"43 Patika Ave, Toronto ",43.70471680909091,-79.5058604
58,865000.0,899000.0,3.0,2.0,1500.0,3.0,3,"15 Shadowbrook Dr, Toronto ",43.6598017875,-79.54898109375
59,2164000.0,2198000.0,4.51,5.0,,2.0,3,"239 Ruth Ave, Toronto ",43.792502664933984,-79.4011419551539
60,1050000.0,999000.0,3.0,3.0,,2.0,2,"88 Somerset Ave, Toronto ",43.67392141555555,-79.43200851333333
61,1215000.0,1298000.0,3.52,3.0,2000.0,1.0,3,"109 Rhodes Ave, Toronto ",43.668819,-79.318679
62,830000.0,739000.0,3.52,4.0,,1.0,3,"183 Belgravia Ave, Toronto ",43.69790794375,-79.447157175
63,900000.0,949999.0,3.51,4.0,,2.0,3,"20 Edenmills Dr, Toronto ",43.7928258687653,-79.21134474264694
64,790000.0,799000.0,4.53,5.0,2000.0,4.0,2,"124 Ardwick Blvd, Toronto ",43.744902133289564,-79.55881026398073
65,770000.0,819900.0,3.51,3.0,,2.0,3,"14 Pylon Pl, Toronto ",43.7174806,-79.5481465
66,820000.0,679000.0,2.51,2.0,,0.0,2,"674 Rhodes Ave, Toronto ",43.681202680487814,-79.32410547073171
67,790000.0,799000.0,4.53,5.0,2000.0,4.0,2,"124 Ardwick Blvd, Toronto ",43.744902133289564,-79.55881026398073
68,755000.0,748800.0,3.51,4.0,,2.0,2,"40 Red Hawk Rd, Toronto ",43.81658610514875,-79.22228981192774
69,830000.0,739000.0,3.52,4.0,,1.0,3,"183 Belgravia Ave, Toronto ",43.69790794375,-79.447157175
70,936000.0,949000.0,3.51,2.0,2000.0,2.0,1,"31 Fuller Ave, Toronto ",43.64118203428572,-79.43930931714286
71,770000.0,819900.0,3.51,3.0,,2.0,3,"14 Pylon Pl, Toronto ",43.7174806,-79.5481465
72,2775000.0,2825000.0,4.0,5.0,,3.0,3,"123 Joicey Blvd, Toronto ",43.737036112441494,-79.41589815788241
73,4690000.0,5095000.0,5.0,6.0,,10.0,3,"10 Baytree Cres, Toronto ",43.75361510000001,-79.38551590000002
74,788500.0,799999.0,3.52,3.0,,2.0,3,"18 Logstone Cres, Toronto ",43.7871925,-79.2185026
75,637000.0,639900.0,3.51,2.0,,6.0,2,"56 Horseley Hill Dr, Toronto ",43.807820033987554,-79.22989984979827
76,865000.0,899000.0,3.0,2.0,1500.0,3.0,3,"15 Shadowbrook Dr, Toronto ",43.6598017875,-79.54898109375
77,795000.0,749900.0,3.0,2.0,,6.0,3,"8 Fairfax Cres, Toronto ",43.71491008702225,-79.28871836964301
78,900000.0,949999.0,3.51,4.0,,2.0,3,"20 Edenmills Dr, Toronto ",43.7928258687653,-79.21134474264694
79,901000.0,799000.0,3.0,2.0,,1.0,1,"350 Melita Ave, Toronto ",43.67379156774194,-79.42595339354837
80,630000.0,599000.0,2.51,2.0,,2.0,3,"3 White Ave, Toronto ",43.66773838888889,-79.49240197222224
81,875000.0,799900.0,3.0,1.0,,1.0,2,"4 Murdock Ave, Toronto ",43.682853176923075,-79.31727973076923
82,1912000.0,1999900.0,4.53,6.0,3500.0,6.0,3,"32 Purdon Dr, Toronto ",43.76607007127839,-79.46301760606184
